START_ID;END_ID;:TYPE
9;5;post_relation
10;7;post_relation
21;19;post_relation
23;7;post_relation
24;22;post_relation
25;19;post_relation
26;20;post_relation
27;20;post_relation
28;7;post_relation
29;14;post_relation
30;19;post_relation
33;20;post_relation
37;19;post_relation
40;20;post_relation
42;38;post_relation
43;38;post_relation
44;41;post_relation
45;35;post_relation
46;16;post_relation
47;41;post_relation
51;50;post_relation
53;50;post_relation
57;52;post_relation
58;16;post_relation
60;59;post_relation
62;61;post_relation
64;61;post_relation
70;69;post_relation
72;31;post_relation
73;71;post_relation
74;71;post_relation
78;75;post_relation
82;81;post_relation
83;20;post_relation
84;71;post_relation
85;75;post_relation
87;77;post_relation
90;81;post_relation
91;89;post_relation
92;89;post_relation
93;86;post_relation
95;94;post_relation
96;94;post_relation
97;94;post_relation
101;86;post_relation
106;14;post_relation
111;102;post_relation
112;107;post_relation
120;115;post_relation
121;116;post_relation
122;113;post_relation
126;125;post_relation
131;115;post_relation
132;130;post_relation
133;103;post_relation
135;41;post_relation
139;76;post_relation
140;107;post_relation
153;81;post_relation
154;125;post_relation
156;155;post_relation
157;41;post_relation
158;155;post_relation
160;159;post_relation
161;138;post_relation
162;155;post_relation
163;138;post_relation
164;14;post_relation
165;143;post_relation
166;129;post_relation
170;169;post_relation
171;35;post_relation
173;35;post_relation
174;116;post_relation
179;176;post_relation
182;175;post_relation
183;176;post_relation
185;184;post_relation
187;186;post_relation
188;134;post_relation
190;176;post_relation
193;192;post_relation
194;191;post_relation
195;192;post_relation
197;196;post_relation
198;192;post_relation
200;134;post_relation
201;155;post_relation
202;199;post_relation
203;189;post_relation
204;116;post_relation
206;205;post_relation
207;205;post_relation
208;205;post_relation
210;199;post_relation
212;209;post_relation
213;211;post_relation
214;155;post_relation
216;215;post_relation
217;211;post_relation
219;218;post_relation
220;218;post_relation
221;196;post_relation
222;155;post_relation
226;155;post_relation
229;227;post_relation
230;223;post_relation
232;231;post_relation
233;130;post_relation
236;234;post_relation
237;235;post_relation
238;234;post_relation
241;234;post_relation
242;227;post_relation
243;184;post_relation
244;138;post_relation
245;234;post_relation
246;134;post_relation
247;235;post_relation
248;234;post_relation
249;228;post_relation
250;184;post_relation
251;138;post_relation
254;169;post_relation
255;253;post_relation
256;253;post_relation
257;253;post_relation
258;252;post_relation
259;155;post_relation
260;191;post_relation
261;196;post_relation
263;172;post_relation
264;22;post_relation
268;266;post_relation
269;265;post_relation
270;265;post_relation
271;265;post_relation
272;266;post_relation
273;253;post_relation
274;262;post_relation
275;155;post_relation
276;155;post_relation
277;266;post_relation
278;266;post_relation
279;155;post_relation
282;265;post_relation
284;280;post_relation
285;265;post_relation
286;253;post_relation
287;231;post_relation
288;280;post_relation
290;266;post_relation
291;289;post_relation
292;289;post_relation
293;262;post_relation
294;253;post_relation
295;289;post_relation
296;128;post_relation
297;130;post_relation
298;289;post_relation
300;103;post_relation
301;52;post_relation
302;280;post_relation
303;224;post_relation
306;305;post_relation
308;307;post_relation
309;305;post_relation
311;310;post_relation
312;215;post_relation
314;313;post_relation
316;59;post_relation
317;266;post_relation
318;266;post_relation
320;319;post_relation
325;324;post_relation
327;326;post_relation
328;326;post_relation
330;235;post_relation
331;326;post_relation
332;323;post_relation
335;334;post_relation
336;326;post_relation
337;326;post_relation
338;334;post_relation
339;326;post_relation
340;235;post_relation
341;253;post_relation
343;319;post_relation
345;313;post_relation
346;266;post_relation
347;266;post_relation
348;334;post_relation
349;334;post_relation
351;334;post_relation
355;354;post_relation
357;334;post_relation
358;356;post_relation
359;350;post_relation
360;61;post_relation
362;356;post_relation
363;361;post_relation
364;350;post_relation
365;334;post_relation
366;361;post_relation
368;235;post_relation
372;370;post_relation
373;370;post_relation
374;371;post_relation
377;375;post_relation
379;307;post_relation
380;354;post_relation
381;361;post_relation
386;384;post_relation
388;387;post_relation
389;382;post_relation
390;384;post_relation
391;382;post_relation
393;384;post_relation
394;375;post_relation
395;384;post_relation
396;103;post_relation
397;382;post_relation
399;398;post_relation
400;398;post_relation
401;382;post_relation
402;223;post_relation
404;223;post_relation
405;398;post_relation
407;313;post_relation
408;406;post_relation
409;406;post_relation
413;130;post_relation
414;410;post_relation
415;411;post_relation
416;412;post_relation
417;387;post_relation
419;411;post_relation
420;418;post_relation
425;422;post_relation
426;421;post_relation
428;59;post_relation
429;422;post_relation
431;422;post_relation
432;421;post_relation
433;430;post_relation
434;427;post_relation
436;427;post_relation
439;412;post_relation
440;424;post_relation
442;418;post_relation
443;412;post_relation
444;437;post_relation
445;370;post_relation
446;412;post_relation
448;441;post_relation
449;441;post_relation
450;412;post_relation
452;406;post_relation
456;451;post_relation
457;451;post_relation
459;458;post_relation
460;454;post_relation
462;454;post_relation
463;461;post_relation
464;455;post_relation
465;369;post_relation
469;468;post_relation
470;466;post_relation
471;455;post_relation
475;473;post_relation
478;477;post_relation
480;468;post_relation
481;474;post_relation
482;473;post_relation
483;406;post_relation
484;473;post_relation
485;14;post_relation
487;422;post_relation
489;488;post_relation
491;461;post_relation
493;406;post_relation
495;494;post_relation
496;494;post_relation
498;424;post_relation
499;128;post_relation
500;488;post_relation
501;411;post_relation
502;488;post_relation
503;497;post_relation
506;497;post_relation
507;497;post_relation
508;504;post_relation
509;130;post_relation
510;422;post_relation
512;412;post_relation
513;511;post_relation
514;313;post_relation
515;313;post_relation
517;516;post_relation
519;466;post_relation
520;466;post_relation
521;516;post_relation
522;516;post_relation
523;466;post_relation
525;430;post_relation
526;430;post_relation
529;430;post_relation
532;530;post_relation
533;531;post_relation
534;527;post_relation
535;527;post_relation
539;538;post_relation
541;536;post_relation
543;540;post_relation
544;538;post_relation
545;540;post_relation
546;536;post_relation
549;548;post_relation
550;548;post_relation
552;548;post_relation
555;536;post_relation
556;554;post_relation
560;559;post_relation
561;559;post_relation
562;530;post_relation
563;559;post_relation
567;564;post_relation
568;447;post_relation
569;559;post_relation
570;564;post_relation
572;571;post_relation
573;559;post_relation
574;116;post_relation
575;376;post_relation
576;196;post_relation
577;376;post_relation
580;265;post_relation
581;22;post_relation
582;116;post_relation
583;518;post_relation
584;458;post_relation
585;103;post_relation
588;587;post_relation
591;468;post_relation
592;554;post_relation
593;536;post_relation
597;594;post_relation
598;595;post_relation
599;596;post_relation
602;594;post_relation
603;600;post_relation
604;594;post_relation
606;554;post_relation
609;410;post_relation
611;595;post_relation
612;608;post_relation
614;608;post_relation
615;468;post_relation
617;616;post_relation
618;595;post_relation
619;613;post_relation
620;454;post_relation
621;455;post_relation
622;616;post_relation
624;607;post_relation
625;596;post_relation
626;623;post_relation
627;61;post_relation
628;361;post_relation
629;607;post_relation
630;600;post_relation
635;634;post_relation
637;634;post_relation
642;640;post_relation
643;511;post_relation
645;623;post_relation
648;605;post_relation
649;644;post_relation
650;644;post_relation
651;623;post_relation
652;361;post_relation
654;653;post_relation
656;636;post_relation
659;600;post_relation
663;662;post_relation
665;657;post_relation
666;587;post_relation
667;662;post_relation
668;265;post_relation
669;655;post_relation
672;670;post_relation
675;662;post_relation
676;565;post_relation
680;678;post_relation
682;265;post_relation
684;677;post_relation
686;678;post_relation
687;683;post_relation
688;600;post_relation
689;678;post_relation
690;683;post_relation
691;678;post_relation
692;679;post_relation
693;662;post_relation
695;694;post_relation
698;265;post_relation
699;679;post_relation
702;701;post_relation
703;694;post_relation
705;685;post_relation
707;655;post_relation
708;704;post_relation
709;697;post_relation
712;711;post_relation
714;697;post_relation
715;713;post_relation
718;716;post_relation
719;653;post_relation
720;710;post_relation
721;658;post_relation
722;52;post_relation
723;717;post_relation
724;704;post_relation
725;634;post_relation
727;671;post_relation
728;536;post_relation
729;671;post_relation
732;731;post_relation
733;704;post_relation
734;726;post_relation
735;704;post_relation
737;736;post_relation
740;736;post_relation
741;739;post_relation
742;739;post_relation
743;739;post_relation
746;745;post_relation
747;52;post_relation
751;744;post_relation
752;749;post_relation
753;224;post_relation
754;730;post_relation
755;750;post_relation
756;749;post_relation
757;745;post_relation
759;758;post_relation
763;760;post_relation
764;761;post_relation
765;565;post_relation
766;762;post_relation
767;758;post_relation
768;758;post_relation
769;750;post_relation
770;736;post_relation
771;694;post_relation
773;744;post_relation
774;376;post_relation
775;758;post_relation
776;41;post_relation
779;778;post_relation
780;41;post_relation
781;778;post_relation
782;777;post_relation
785;783;post_relation
788;787;post_relation
789;786;post_relation
790;778;post_relation
792;778;post_relation
794;694;post_relation
795;791;post_relation
796;778;post_relation
797;793;post_relation
798;791;post_relation
799;783;post_relation
800;793;post_relation
801;791;post_relation
803;802;post_relation
805;804;post_relation
807;806;post_relation
809;808;post_relation
811;810;post_relation
813;812;post_relation
814;812;post_relation
816;808;post_relation
817;808;post_relation
818;812;post_relation
819;815;post_relation
821;784;post_relation
822;820;post_relation
824;791;post_relation
826;825;post_relation
827;825;post_relation
828;812;post_relation
830;829;post_relation
833;832;post_relation
835;793;post_relation
836;834;post_relation
837;783;post_relation
839;838;post_relation
841;834;post_relation
843;842;post_relation
845;844;post_relation
846;842;post_relation
847;842;post_relation
848;761;post_relation
849;832;post_relation
850;748;post_relation
854;554;post_relation
855;554;post_relation
858;853;post_relation
860;554;post_relation
861;859;post_relation
862;52;post_relation
863;859;post_relation
864;859;post_relation
868;859;post_relation
870;869;post_relation
871;869;post_relation
873;872;post_relation
874;423;post_relation
875;865;post_relation
876;866;post_relation
878;877;post_relation
879;877;post_relation
880;810;post_relation
881;866;post_relation
882;877;post_relation
884;787;post_relation
886;883;post_relation
888;887;post_relation
889;887;post_relation
890;423;post_relation
891;744;post_relation
897;895;post_relation
898;893;post_relation
899;895;post_relation
900;700;post_relation
901;895;post_relation
905;904;post_relation
906;812;post_relation
907;904;post_relation
908;902;post_relation
909;903;post_relation
910;586;post_relation
911;903;post_relation
912;744;post_relation
913;902;post_relation
916;915;post_relation
918;917;post_relation
923;919;post_relation
924;921;post_relation
925;922;post_relation
926;917;post_relation
928;919;post_relation
929;927;post_relation
930;927;post_relation
931;902;post_relation
932;896;post_relation
933;920;post_relation
935;934;post_relation
938;934;post_relation
939;919;post_relation
941;936;post_relation
942;915;post_relation
944;934;post_relation
947;945;post_relation
950;946;post_relation
951;948;post_relation
956;904;post_relation
958;940;post_relation
959;866;post_relation
960;919;post_relation
964;962;post_relation
966;962;post_relation
967;963;post_relation
969;968;post_relation
975;974;post_relation
976;915;post_relation
978;962;post_relation
980;979;post_relation
981;802;post_relation
982;802;post_relation
986;946;post_relation
988;955;post_relation
990;989;post_relation
991;987;post_relation
993;992;post_relation
994;992;post_relation
995;992;post_relation
996;989;post_relation
998;937;post_relation
999;992;post_relation
1000;997;post_relation
1001;997;post_relation
1005;997;post_relation
1006;1002;post_relation
1008;1007;post_relation
1009;997;post_relation
1010;1007;post_relation
1019;810;post_relation
1022;1020;post_relation
1023;1021;post_relation
1026;810;post_relation
1027;1025;post_relation
1030;1024;post_relation
1031;1029;post_relation
1032;1028;post_relation
1033;1029;post_relation
1035;1021;post_relation
1037;1013;post_relation
1039;1034;post_relation
1041;1024;post_relation
1046;492;post_relation
1047;1002;post_relation
1048;1044;post_relation
1051;1003;post_relation
1054;1036;post_relation
1055;1044;post_relation
1056;985;post_relation
1057;1042;post_relation
1060;1053;post_relation
1062;985;post_relation
1063;1053;post_relation
1064;89;post_relation
1065;730;post_relation
1066;1058;post_relation
1067;1059;post_relation
1068;1053;post_relation
1072;1070;post_relation
1076;1073;post_relation
1077;1075;post_relation
1081;1071;post_relation
1082;1078;post_relation
1084;1078;post_relation
1085;1075;post_relation
1087;1086;post_relation
1088;1078;post_relation
1089;1086;post_relation
1096;1091;post_relation
1097;1092;post_relation
1098;1091;post_relation
1099;1095;post_relation
1101;1095;post_relation
1103;1102;post_relation
1109;1107;post_relation
1112;1107;post_relation
1114;1107;post_relation
1118;1110;post_relation
1120;1108;post_relation
1121;1108;post_relation
1122;1119;post_relation
1126;1123;post_relation
1127;310;post_relation
1129;403;post_relation
1131;1128;post_relation
1133;1132;post_relation
1136;1135;post_relation
1138;1124;post_relation
1139;1125;post_relation
1140;1106;post_relation
1142;1141;post_relation
1144;1143;post_relation
1145;1143;post_relation
1146;1113;post_relation
1148;1137;post_relation
1150;1105;post_relation
1152;1149;post_relation
1153;1106;post_relation
1160;1113;post_relation
1161;1151;post_relation
1162;823;post_relation
1163;1159;post_relation
1164;1159;post_relation
1167;946;post_relation
1168;1166;post_relation
1169;1159;post_relation
1171;1166;post_relation
1175;1147;post_relation
1176;1159;post_relation
1178;1042;post_relation
1179;1177;post_relation
1180;1177;post_relation
1182;1173;post_relation
1184;1159;post_relation
1188;1174;post_relation
1193;1186;post_relation
1194;1191;post_relation
1198;155;post_relation
1199;1196;post_relation
1200;1190;post_relation
1202;1197;post_relation
1203;1197;post_relation
1206;1195;post_relation
1207;1197;post_relation
1209;1151;post_relation
1210;1059;post_relation
1211;1174;post_relation
1212;1205;post_relation
1215;1204;post_relation
1220;1216;post_relation
1221;1204;post_relation
1222;1216;post_relation
1224;1223;post_relation
1226;1204;post_relation
1228;1225;post_relation
1230;1229;post_relation
1231;1229;post_relation
1232;369;post_relation
1233;1073;post_relation
1234;1205;post_relation
1235;1225;post_relation
1242;1241;post_relation
1247;155;post_relation
1248;536;post_relation
1249;1236;post_relation
1250;1214;post_relation
1255;1244;post_relation
2256;1241;post_relation
2259;2255;post_relation
2260;2255;post_relation
2261;2258;post_relation
2262;1214;post_relation
2264;2255;post_relation
2265;1246;post_relation
2266;1243;post_relation
2267;1243;post_relation
2270;2269;post_relation
2271;2268;post_relation
2272;2269;post_relation
2274;2273;post_relation
2276;2263;post_relation
2277;2273;post_relation
2279;2278;post_relation
2280;536;post_relation
2281;2258;post_relation
2286;2284;post_relation
2288;2287;post_relation
2290;2285;post_relation
2294;253;post_relation
2296;2293;post_relation
2299;326;post_relation
2305;2303;post_relation
2307;2302;post_relation
2311;1253;post_relation
2315;1028;post_relation
2317;2303;post_relation
2318;2303;post_relation
2320;19;post_relation
2324;2323;post_relation
2325;2314;post_relation
2326;2322;post_relation
2327;2303;post_relation
2329;2328;post_relation
2332;2308;post_relation
2335;2334;post_relation
2338;326;post_relation
2339;2337;post_relation
2340;2304;post_relation
2341;1155;post_relation
2342;2322;post_relation
2345;2343;post_relation
2347;2346;post_relation
2350;2349;post_relation
2351;2298;post_relation
2354;172;post_relation
2356;2287;post_relation
2357;2348;post_relation
2358;2348;post_relation
2360;1240;post_relation
2361;2359;post_relation
2363;2298;post_relation
2364;985;post_relation
2365;2362;post_relation
2366;2353;post_relation
2367;492;post_relation
2369;2368;post_relation
2370;2368;post_relation
2371;2355;post_relation
2372;2298;post_relation
2374;2313;post_relation
2375;2373;post_relation
2376;2373;post_relation
2377;1135;post_relation
2379;2378;post_relation
2380;2378;post_relation
2383;2343;post_relation
2385;2343;post_relation
2386;2384;post_relation
2387;2343;post_relation
2393;2384;post_relation
2397;2394;post_relation
2399;1091;post_relation
2401;2398;post_relation
2405;2269;post_relation
2406;2403;post_relation
2407;1091;post_relation
2410;2395;post_relation
2411;2403;post_relation
2413;2391;post_relation
2414;2412;post_relation
