doc,1,2,3,4,5,6,7,8,9,10
384,0.097538311,0.091738417,0.100374596,0.100544215,0.103195713,0.103115421,0.108829863,0.099317665,0.099659591,0.095686208
1894,0.101515233,0.10949179,0.10540115,0.103736033,0.089303212,0.106567813,0.102355788,0.094396943,0.092530051,0.094701987
1596,0.104072052,0.095999925,0.095851445,0.10673291,0.094191153,0.105567149,0.093173605,0.102423764,0.102221705,0.099766291
1780,0.096955283,0.098717734,0.113449365,0.094997357,0.098207604,0.10566721,0.090637303,0.109356316,0.096358629,0.095653199
1732,0.103566063,0.098495205,0.106109102,0.104213481,0.095141455,0.101114573,0.087200605,0.106487958,0.092030474,0.105641084
1550,0.116989598,0.095240012,0.091908513,0.108814,0.101422968,0.099950529,0.088885054,0.100160428,0.109492624,0.087136275
1202,0.10826749,0.086122916,0.099562899,0.098352238,0.096555719,0.103716415,0.101732055,0.106015822,0.095806748,0.103867697
1310,0.103209036,0.099850869,0.10236501,0.105111992,0.097413794,0.099159474,0.098177766,0.105442341,0.097016805,0.092252913
1670,0.116182331,0.113523725,0.088899158,0.102850634,0.09872397,0.095014335,0.094782617,0.098321593,0.092883822,0.098817816
1144,0.109674894,0.10084669,0.099202338,0.116171379,0.088930058,0.101837129,0.092316879,0.088901328,0.108531799,0.093587506
1344,0.096891149,0.074491595,0.071614997,0.100797897,0.123379295,0.116494156,0.122199781,0.088010324,0.084964451,0.121156355
266,0.099761256,0.088335327,0.112891929,0.099325788,0.080939039,0.092092695,0.09255349,0.09604543,0.113306679,0.124748366
1674,0.120099786,0.125667579,0.088521142,0.078408664,0.077278802,0.094989671,0.087472866,0.144527239,0.093797094,0.089237156
734,0.114520875,0.096225644,0.090922207,0.102903864,0.089335107,0.112299661,0.087024319,0.100188557,0.101816222,0.104763544
4,0.085571855,0.103797646,0.09400523,0.090606912,0.099641308,0.117764811,0.112866615,0.091520154,0.112139861,0.092085608
1044,0.115741652,0.094803704,0.091598565,0.095022873,0.085353097,0.106932476,0.152686611,0.092143449,0.082149849,0.083567724
406,0.096222615,0.109801761,0.095083449,0.107701404,0.093328289,0.09740675,0.111351855,0.099274328,0.095562598,0.094266952
888,0.087055774,0.09624999,0.11063693,0.098658222,0.103986433,0.095042099,0.118711812,0.111747837,0.095857828,0.082053076
874,0.100276173,0.095917853,0.098121165,0.106444683,0.090148533,0.104350436,0.087631551,0.098444935,0.100921327,0.117743345
120,0.088739264,0.100073317,0.10284932,0.096419328,0.094325452,0.105906168,0.097243637,0.10093614,0.110668519,0.102838855
1710,0.097313592,0.102909648,0.111526436,0.097756484,0.089239172,0.114890609,0.10406556,0.103753175,0.092002842,0.08654248
1688,0.127533272,0.093591084,0.097561488,0.10119977,0.098954672,0.102128224,0.099232804,0.09528096,0.099490191,0.085027535
306,0.115131693,0.093643113,0.102833972,0.092084483,0.096898788,0.097274693,0.106646718,0.097904006,0.100112272,0.097470261
282,0.115073911,0.096440495,0.090480827,0.113096241,0.089381909,0.103232923,0.074122506,0.101193807,0.110654179,0.106323201
360,0.105043124,0.09344138,0.098386225,0.097788694,0.092391557,0.113390009,0.090842128,0.114894758,0.100828833,0.092993291
52,0.128055531,0.090620641,0.098316614,0.109787398,0.08726169,0.1003698,0.086470098,0.106379535,0.098096181,0.094642512
1608,0.098965171,0.091398239,0.102553387,0.089340668,0.0897014,0.113138578,0.100690705,0.098984923,0.114710132,0.100516798
